election_id,voter_id,age,sex
1,41210,65,M
1,51259,32,M
1,66560,32,M
1,60793,57,F
1,41706,37,F
1,86516,41,F
1,914,42,F
1,85928,75,M
1,57185,29,M
1,15742,50,M
1,61394,35,F
1,79409,36,F
1,36979,34,F
1,85034,41,F
1,77718,31,F
1,76341,72,F
1,80551,7,F
1,62679,55,M
1,23018,36,F
1,45498,49,M
1,26192,36,M
1,69387,9,F
1,38534,33,F
1,49041,51,F
1,42186,38,F
1,39586,46,F
1,80724,46,M
1,54492,8,M
1,78738,13,F
1,47947,69,F
1,18025,74,M
1,35847,34,F
1,55177,53,F
1,22970,36,F
1,45075,34,F
1,40943,32,M
1,57011,33,M
1,17500,45,F
1,46699,7,M
1,4766,41,F
1,18832,25,F
1,81462,11,F
1,18484,52,M
1,2596,61,F
1,43415,64,F
1,58950,34,F
1,60572,30,F
1,31327,41,F
1,9168,51,F
1,17061,32,M
1,46043,36,F
1,35943,33,F
1,62805,36,F
1,36989,25,F
1,4202,35,M
1,63052,45,M
1,51188,34,M
1,45400,48,M
1,20504,55,F
1,39059,30,F
1,84114,15,M
1,45579,38,F
1,31483,42,M
1,44071,34,F
1,34998,31,F
1,61850,32,F
1,37533,41,M
1,62668,6,M
1,37475,21,M
1,76303,60,F
1,11451,38,M
1,48267,66,F
1,12299,17,F
1,71877,31,M
1,30246,2,M
1,71594,2,M
1,55930,5,F
1,50690,36,F
1,73560,45,F
1,78106,45,M
1,86074,41,M
1,8227,28,M
1,53165,11,M
1,70073,79,F
1,63329,18,F
1,12395,69,F
1,2594,42,F
1,84195,33,M
1,83941,36,F
1,33141,33,F
1,76906,35,M
1,69501,10,M
1,9312,18,F
1,63767,22,F
1,13187,40,F
1,2875,37,F
1,5309,41,F
1,62297,34,F
1,52144,35,F
1,13693,35,M
1,80601,34,M
1,29330,43,M
1,83650,39,F
1,63654,35,F
1,68189,30,M
1,47275,29,M
1,68772,11,F
1,140,33,M
1,64233,10,M
1,49046,27,F
1,39312,29,F
1,35016,67,M
1,68187,45,F
1,2731,40,F
1,26780,28,F
1,656,38,F
1,25133,38,F
1,63,32,F
1,7468,30,F
1,37141,30,F
1,28503,61,F
1,51324,46,F
1,48992,43,F
1,10331,34,F
1,51658,43,F
1,56402,66,F
1,47100,50,F
1,59342,1,F
1,84385,43,M
1,44718,64,M
1,53314,6,F
1,71450,25,F
1,67665,37,F
1,40780,28,F
1,51228,16,M
1,14697,48,M
1,14248,41,F
1,65269,33,F
1,84993,43,F
1,4562,30,F
1,37167,42,F
1,18702,39,M
1,86012,31,M
1,69524,33,F
1,61173,39,M
1,11617,38,M
1,7940,29,F
1,60135,10,M
1,1587,63,M
1,38546,38,F
1,65973,31,F
1,70448,37,M
1,10115,28,M
1,41774,31,M
1,11245,3,F
1,82949,36,M
1,83511,32,F
1,46902,37,F
1,29324,41,F
1,34464,27,F
1,40086,0,F
1,64296,35,M
1,41400,78,M
1,2669,26,F
1,83759,56,M
1,47148,56,F
1,86952,32,F
1,55111,30,F
1,10800,31,F
1,32786,40,F
1,39951,57,F
1,17029,35,F
1,56095,40,F
1,61758,39,M
1,59051,60,F
1,71174,42,F
1,46490,40,F
1,27143,38,F
1,2580,34,M
1,58144,34,F
1,74441,29,M
1,7785,31,M
1,77297,42,F
1,28488,52,M
1,87811,65,F
1,40278,3,M
1,61917,30,F
1,59348,27,F
1,80434,10,F
